	ID	cluster	start	stop	strand	family	length of spanned region	genome	contig
81	B7_3_IS_8	IS3_271	1846084	1847331	+	IS3	1247	B7	B7_3
84	B7_3_IS_9	IS1182_100	2001967	2004328		IS1182	2361	B7	B7_3
87	B7_4_IS_1	IS110_184	148544	149788	+	IS110	1244	B7	B7_4
90	B7_4_IS_2	IS1182_100	175383	176908		IS1182	1525	B7	B7_4
93	B7_4_IS_3	IS1182_100	176915	178444		IS1182	1529	B7	B7_4
96	B7_4_IS_4	IS3_271	252937	254134	+	IS3	1197	B7	B7_4
99	B7_4_IS_5	IS1182_100	360963	362494		IS1182	1531	B7	B7_4
102	B7_4_IS_6	IS3_168	568931	570159	+	IS3	1228	B7	B7_4
105	B7_4_IS_7	IS3_168	723404	724632		IS3	1228	B7	B7_4
108	B7_4_IS_8	IS1182_100	759803	761356	-	IS1182	1553	B7	B7_4
111	B7_4_IS_9	IS3_271	779135	780305	+	IS3	1170	B7	B7_4
114	B7_4_IS_10	IS1182_100	780315	781861	+	IS1182	1546	B7	B7_4
117	B7_4_IS_11	IS1182_100	786209	787733	+	IS1182	1524	B7	B7_4
120	B7_4_IS_12	IS3_271	789342	790512	+	IS3	1170	B7	B7_4
123	B7_4_IS_13	IS1182_100	798631	800161		IS1182	1530	B7	B7_4
126	B7_4_IS_14	IS6_292	806621	807783	-	IS6	1162	B7	B7_4
129	B7_4_IS_15	IS1182_100	812414	813944	+	IS1182	1530	B7	B7_4
132	B7_4_IS_16	IS3_271	828060	829229		IS3	1169	B7	B7_4
135	B7_4_IS_17	IS3_271	855949	857118		IS3	1169	B7	B7_4
138	B7_4_IS_18	IS110_208	906177	907653	+	IS110	1476	B7	B7_4
141	B7_4_IS_19	IS1182_100	940058	941590		IS1182	1532	B7	B7_4
144	B7_4_IS_20	IS6_303	954544	955352	-	IS6	808	B7	B7_4
147	B7_4_IS_21	IS6_303	976051	976857		IS6	806	B7	B7_4
150	B7_4_IS_22	IS3_271	980615	981812	+	IS3	1197	B7	B7_4
153	B7_4_IS_23	IS110_208	1001614	1003075		IS110	1461	B7	B7_4
156	B7_4_IS_24	IS110_142	1004033	1005835	-	IS110	1802	B7	B7_4
159	B7_4_IS_25	IS3_271	1063648	1064818	-	IS3	1170	B7	B7_4
162	B7_4_IS_26	IS3_271	1075867	1077037	+	IS3	1170	B7	B7_4
165	B7_4_IS_27	IS1182_100	1234237	1235768		IS1182	1531	B7	B7_4
168	B7_4_IS_28	IS1182_100	1235775	1237305	+	IS1182	1530	B7	B7_4
171	B7_4_IS_29	IS1182_100	1416309	1417864		IS1182	1555	B7	B7_4
174	B7_4_IS_30	IS110_208	1914587	1915864	+	IS110	1277	B7	B7_4
177	B7_4_IS_31	IS1182_100	1965769	1967299		IS1182	1530	B7	B7_4
180	B7_4_IS_32	IS3_271	1971515	1972683		IS3	1168	B7	B7_4
183	B7_4_IS_33	IS3_271	1985042	1986211		IS3	1169	B7	B7_4
186	B7_4_IS_34	IS3_271	1993271	1994468	+	IS3	1197	B7	B7_4
189	B7_4_IS_35	IS3_168	1997663	1998893		IS3	1230	B7	B7_4
192	B7_4_IS_36	IS110_170	1999675	2001125	+	IS110	1450	B7	B7_4
195	B7_4_IS_37	IS3_271	2003817	2004986		IS3	1169	B7	B7_4
198	B7_4_IS_38	IS3_271	2012022	2013192	+	IS3	1170	B7	B7_4
201	B7_4_IS_39	IS3_239|IS3||protein:plasmid:133558	2014489	2015768	-	IS3	1279	B7	B7_4
204	B7_4_IS_40	IS110_208	2016165	2017629	+	IS110	1464	B7	B7_4
207	B7_4_IS_41	IS1182_100	2030828	2032359		IS1182	1531	B7	B7_4
210	B7_4_IS_42	IS3_271	2033934	2035103		IS3	1169	B7	B7_4
213	B7_4_IS_43	IS3_271	2064673	2065889	-	IS3	1216	B7	B7_4
216	B7_4_IS_44	IS3_271	2066798	2067968	-	IS3	1170	B7	B7_4
219	B7_4_IS_45	IS3_271	2431671	2432841		IS3	1170	B7	B7_4
222	B7_4_IS_46	IS3_271	2457188	2458357		IS3	1169	B7	B7_4
225	B7_5_IS_1	IS3_271	662	3015	-	IS3	2353	B7	B7_5
228	B7_5_IS_2	IS3_271	5772	8127		IS3	2355	B7	B7_5
231	B7_5_IS_3	IS3_168	30513	31742		IS3	1229	B7	B7_5
234	B7_5_IS_4	IS3_271	38116	39284		IS3	1168	B7	B7_5
237	B7_5_IS_5	IS110_184	50759	52069	-	IS110	1310	B7	B7_5
240	B7_5_IS_6	IS110_208	65191	66739	-	IS110	1548	B7	B7_5
243	B7_5_IS_7	IS66_46	71659	74048	-	IS66	2389	B7	B7_5
246	B7_5_IS_8	IS3_168	73718	74946	-	IS3	1228	B7	B7_5
249	B7_5_IS_9	IS481_213	91634	92363	+	IS481	729	B7	B7_5
252	B7_5_IS_10	IS110_142	98982	100176	+	IS110	1194	B7	B7_5
255	B7_5_IS_11	IS3_271	106907	108077		IS3	1170	B7	B7_5
258	B7_5_IS_12	IS6_303	113418	114236	+	IS6	818	B7	B7_5
261	B7_5_IS_13	IS110_170	113999	115579	+	IS110	1580	B7	B7_5
264	B7_5_IS_14	IS110_208	115836	117208	-	IS110	1372	B7	B7_5
267	B7_5_IS_15	IS3_271	123503	125860		IS3	2357	B7	B7_5
270	B7_5_IS_16	IS3_168	127779	129006		IS3	1227	B7	B7_5
273	B7_5_IS_17	IS3_168	129901	131130		IS3	1229	B7	B7_5
276	B7_5_IS_18	IS3_271	131452	132622		IS3	1170	B7	B7_5
279	B7_5_IS_19	IS3_168	147551	148781		IS3	1230	B7	B7_5
282	B7_5_IS_20	IS6_292	152465	153276	-	IS6	811	B7	B7_5
285	B7_5_IS_21	IS110_208	154087	155334	-	IS110	1247	B7	B7_5
288	B7_5_IS_22	IS1182_100	163395	164927	+	IS1182	1532	B7	B7_5
291	B7_5_IS_23	IS3_271	175582	176752		IS3	1170	B7	B7_5
294	B7_5_IS_24	IS3_271	179637	181992	+	IS3	2355	B7	B7_5
297	B7_5_IS_25	IS3_168	195964	197192		IS3	1228	B7	B7_5
300	B7_5_IS_26	IS3_271	212486	213656		IS3	1170	B7	B7_5
303	B7_5_IS_27	IS110_179	221790	222992	-	IS110	1202	B7	B7_5
306	B7_5_IS_28	IS110_208	228520	229911	+	IS110	1391	B7	B7_5
309	B7_5_IS_29	IS3_271	230747	231917		IS3	1170	B7	B7_5
312	B7_5_IS_30	IS3_271	239892	242247		IS3	2355	B7	B7_5
315	B7_5_IS_31	IS3_271	245007	247361		IS3	2354	B7	B7_5
318	B7_6_IS_1	IS3_271	840	3190	-	IS3	2350	B7	B7_6
321	B7_6_IS_2	IS3_271	5950	8306		IS3	2356	B7	B7_6
324	B7_6_IS_3	IS3_239|IS3||protein:plasmid:133558	9014	10102	+	IS3	1088	B7	B7_6
0	AA10_1_IS_1	IS6_292	12185	13002	+	IS6	817	AA10	AA10_1
3	AA10_1_IS_2	IS6_292	25092	27690	+	IS6	2598	AA10	AA10_1
6	AA10_1_IS_3	IS6_292	30568	31385	+	IS6	817	AA10	AA10_1
9	AA10_1_IS_4	IS6_292	111755	112572		IS6	817	AA10	AA10_1
12	AA10_1_IS_5	IS6_292	125977	126794	+	IS6	817	AA10	AA10_1
15	AA10_1_IS_6	IS6_292	138884	141480	+	IS6	2596	AA10	AA10_1
0	HA57_1_IS_1	IS481_213	230558	231789	-	IS481	1231	HA57	HA57_1
3	HA57_1_IS_2	IS1634_37	257339	259232		IS1634	1893	HA57	HA57_1
6	HA57_1_IS_3	IS256_92	259340	260760	-	IS256	1420	HA57	HA57_1
9	HA57_1_IS_4	IS5_447	579831	580767		IS5	936	HA57	HA57_1
12	HA57_1_IS_5	IS5_447	581927	582861	-	IS5	934	HA57	HA57_1
15	HA57_1_IS_6	IS1634_37	976498	978391	+	IS1634	1893	HA57	HA57_1
18	HA57_1_IS_7	IS91_83	1752151	1754740	-	IS91	2589	HA57	HA57_1
21	HA57_1_IS_8	IS21_67	1773218	1775721		IS21	2503	HA57	HA57_1
24	HA57_1_IS_9	IS3_239|IS3||protein:plasmid:133558	1793759	1795620	-	IS3	1861	HA57	HA57_1
27	HA57_1_IS_10	IS481_213	1879785	1881015	-	IS481	1230	HA57	HA57_1
30	HA57_1_IS_11	IS91_83	2628089	2629729	+	IS91	1640	HA57	HA57_1
33	HA57_1_IS_12	IS1634_37	2977285	2979178		IS1634	1893	HA57	HA57_1
36	HA57_1_IS_13	IS1380_105	3046683	3048339	-	IS1380	1656	HA57	HA57_1
39	HA57_1_IS_14	IS21_67	3699930	3702447	+	IS21	2517	HA57	HA57_1
42	HA57_1_IS_15	IS21_69	3958756	3961387	-	IS21	2631	HA57	HA57_1
45	HA57_1_IS_16	IS630_247	4049470	4050525	+	IS630	1055	HA57	HA57_1
48	HA57_1_IS_17	IS5_279	4051703	4052542	+	IS5	839	HA57	HA57_1
51	HA57_12_IS_1	IS6_292	108814	109639	-	IS6	825	HA57	HA57_12
54	HA57_12_IS_2	IS21_67	118812	121243	+	IS21	2431	HA57	HA57_12
57	HA57_12_IS_3	IS5_302	155200	156350	+	IS5	1150	HA57	HA57_12
60	HA57_12_IS_4	IS21_67	162722	165226		IS21	2504	HA57	HA57_12
63	HA57_12_IS_5	IS21_67	180805	183237		IS21	2432	HA57	HA57_12
66	HA57_12_IS_6	IS6_292	188003	188836	+	IS6	833	HA57	HA57_12
69	HA57_12_IS_7	IS5_279	218255	219173		IS5	918	HA57	HA57_12
72	HA57_12_IS_8	IS110_184	219103	220410	-	IS110	1307	HA57	HA57_12
75	HA57_12_IS_9	IS110_184	237278	238663		IS110	1385	HA57	HA57_12
78	HA57_12_IS_10	IS5_279	240442	241361	+	IS5	919	HA57	HA57_12
81	HA57_12_IS_11	IS630_247	242176	243229		IS630	1053	HA57	HA57_12
84	HA57_12_IS_12	IS630_193	348536	349708		IS630	1172	HA57	HA57_12
87	HA57_12_IS_13	IS5_302	359830	360692		IS5	862	HA57	HA57_12
90	HA57_12_IS_14	IS6_292	386783	387687		IS6	904	HA57	HA57_12
93	HA57_12_IS_15	IS6_292	400153	400971	-	IS6	818	HA57	HA57_12
96	HA57_12_IS_16	IS1182_100	401039	402619	-	IS1182	1580	HA57	HA57_12
99	HA57_12_IS_17	IS110_179	429408	431163	+	IS110	1755	HA57	HA57_12
102	HA57_12_IS_18	IS110_208	430703	431868	+	IS110	1165	HA57	HA57_12
105	HA57_12_IS_19	IS21_67	1000373	1002877		IS21	2504	HA57	HA57_12
108	HA57_12_IS_20	IS5_108	1020335	1021727	+	IS5	1392	HA57	HA57_12
111	HA57_12_IS_21	IS630_193	1026240	1027413	-	IS630	1173	HA57	HA57_12
114	HA57_12_IS_22	IS630_247	1035213	1036259	+	IS630	1046	HA57	HA57_12
117	HA57_12_IS_23	IS6_292	1036824	1037873	+	IS6	1049	HA57	HA57_12
120	HA57_12_IS_24	IS481_213	1043727	1044957	+	IS481	1230	HA57	HA57_12
123	HA57_14_IS_1	IS110_208	1208	2254	+	IS110	1046	HA57	HA57_14
126	HA57_14_IS_2	IS3_176	4490	5820	+	IS3	1330	HA57	HA57_14
129	HA57_14_IS_3	IS5_222	7119	8912	+	IS5	1793	HA57	HA57_14
132	HA57_15_IS_1	IS3_176	2346	3682	+	IS3	1336	HA57	HA57_15
135	HA57_15_IS_2	IS3_176	3416	5267	-	IS3	1851	HA57	HA57_15
138	HA57_15_IS_3	IS5_222	5397	6446	+	IS5	1049	HA57	HA57_15
141	HA57_16_IS_1	IS5_222	1394	5777	+	IS5	4383	HA57	HA57_16
144	HA57_16_IS_2	IS6_292	22947	23779	+	IS6	832	HA57	HA57_16
147	HA57_16_IS_3	IS6_303	61908	62715	+	IS6	807	HA57	HA57_16
150	HA57_16_IS_4	IS630_193	73622	74795	-	IS630	1173	HA57	HA57_16
153	HA57_16_IS_5	IS21_67	76794	79297	+	IS21	2503	HA57	HA57_16
156	HA57_16_IS_6	IS5_222	84537	85626	-	IS5	1089	HA57	HA57_16
159	HA57_16_IS_7	IS6_303	85651	86458	+	IS6	807	HA57	HA57_16
162	HA57_16_IS_8	IS630_247	142278	143326		IS630	1048	HA57	HA57_16
165	HA57_16_IS_9	IS110_208	173278	174949	-	IS110	1671	HA57	HA57_16
168	HA57_16_IS_10	IS630_247	247951	249005	-	IS630	1054	HA57	HA57_16
171	HA57_16_IS_11	IS4_169	263225	265369	+	IS4	2144	HA57	HA57_16
174	HA57_16_IS_12	IS110_208	265196	266242	+	IS110	1046	HA57	HA57_16
177	HA57_16_IS_13	IS3_176	269791	271562	-	IS3	1771	HA57	HA57_16
180	HA57_16_IS_14	IS5_222	271495	272544	+	IS5	1049	HA57	HA57_16
183	HA57_17_IS_1	IS110_208	1374	2418	+	IS110	1044	HA57	HA57_17
186	HA57_17_IS_2	IS3_176	5240	6481	+	IS3	1241	HA57	HA57_17
189	HA57_17_IS_3	IS5_222	7656	8704	+	IS5	1048	HA57	HA57_17
192	HA57_19_IS_1	IS110_236	9159	12136	+	IS110	2977	HA57	HA57_19
195	HA57_19_IS_2	IS30_173	69389	71128	+	IS30	1739	HA57	HA57_19
198	HA57_19_IS_3	IS21_67	74322	76825	+	IS21	2503	HA57	HA57_19
201	HA57_2_IS_1	IS1634_37	10809	12703		IS1634	1894	HA57	HA57_2
204	HA57_2_IS_2	IS630_193	16676	17848	+	IS630	1172	HA57	HA57_2
207	HA57_2_IS_3	IS3_176	36467	37965	+	IS3	1498	HA57	HA57_2
210	HA57_2_IS_4	IS1634_37	37654	39548	+	IS1634	1894	HA57	HA57_2
213	HA57_2_IS_5	IS630_193	41175	42347		IS630	1172	HA57	HA57_2
216	HA57_2_IS_6	IS630_386	44471	45635	-	IS630	1164	HA57	HA57_2
219	HA57_2_IS_7	IS630_193	46602	47774		IS630	1172	HA57	HA57_2
222	HA57_2_IS_8	IS630_386	52378	53544		IS630	1166	HA57	HA57_2
225	HA57_2_IS_9	IS3_255	59691	61064		IS3	1373	HA57	HA57_2
228	HA57_2_IS_10	IS110_151	61470	65379		IS110	3909	HA57	HA57_2
231	HA57_2_IS_11	IS630_193	70180	71351		IS630	1171	HA57	HA57_2
234	HA57_2_IS_12	IS110_208	86654	89635		IS110	2981	HA57	HA57_2
237	HA57_2_IS_13	IS1182_44	90335	92148	-	IS1182	1813	HA57	HA57_2
240	HA57_2_IS_14	IS256_92	91731	93923	+	IS256	2192	HA57	HA57_2
243	HA57_2_IS_15	IS1182_44	93499	95326		IS1182	1827	HA57	HA57_2
246	HA57_2_IS_16	IS110_151	97700	99141		IS110	1441	HA57	HA57_2
249	HA57_2_IS_17	IS5_222	103580	104619	+	IS5	1039	HA57	HA57_2
250	HA57_2_IS_18	IS256_92	106845	108258		IS256	1413	HA57	HA57_2
253	HA57_2_IS_19	IS1380_105	137369	139103	-	IS1380	1734	HA57	HA57_2
256	HA57_2_IS_20	IS110_208	141464	142670	+	IS110	1206	HA57	HA57_2
259	HA57_2_IS_21	IS1634_37	154046	155938		IS1634	1892	HA57	HA57_2
262	HA57_2_IS_22	IS256_92	156802	158153	-	IS256	1351	HA57	HA57_2
265	HA57_2_IS_23	IS5_222	165208	166242	+	IS5	1034	HA57	HA57_2
268	HA57_2_IS_24	IS5_222	202473	203541		IS5	1068	HA57	HA57_2
271	HA57_2_IS_25	IS5_222	213167	214235		IS5	1068	HA57	HA57_2
274	HA57_2_IS_26	IS110_208	214401	215852	+	IS110	1451	HA57	HA57_2
277	HA57_2_IS_27	IS1634_37	216209	218102		IS1634	1893	HA57	HA57_2
280	HA57_2_IS_28	IS630_247	225906	227088		IS630	1182	HA57	HA57_2
283	HA57_2_IS_29	IS3_255	227195	228566	+	IS3	1371	HA57	HA57_2
286	HA57_2_IS_30	IS110_208	228579	229654	-	IS110	1075	HA57	HA57_2
289	HA57_2_IS_31	IS110_208	230188	233166	-	IS110	2978	HA57	HA57_2
292	HA57_2_IS_32	IS1182_71	232879	234608	+	IS1182	1729	HA57	HA57_2
295	HA57_2_IS_33	IS3_255	238200	239574	+	IS3	1374	HA57	HA57_2
298	HA57_2_IS_34	IS5_222	240189	241173		IS5	984	HA57	HA57_2
299	HA57_2_IS_35	IS66_46	241806	244045	-	IS66	2239	HA57	HA57_2
302	HA57_2_IS_36	IS5_222	248302	249285		IS5	983	HA57	HA57_2
303	HA57_2_IS_37	IS630_386	249285	250451		IS630	1166	HA57	HA57_2
306	HA57_2_IS_38	IS5_222	250459	251437		IS5	978	HA57	HA57_2
307	HA57_2_IS_39	IS256_92	256075	257742	-	IS256	1667	HA57	HA57_2
310	HA57_2_IS_40	IS110_208	258717	259939		IS110	1222	HA57	HA57_2
313	HA57_2_IS_41	IS3_255	261049	262424		IS3	1375	HA57	HA57_2
316	HA57_2_IS_42	IS5_222	262429	263467		IS5	1038	HA57	HA57_2
317	HA57_2_IS_43	IS110_208	274379	275406	+	IS110	1027	HA57	HA57_2
320	HA57_2_IS_44	IS110_179	275367	277365	+	IS110	1998	HA57	HA57_2
323	HA57_2_IS_45	IS110_208	277118	278339		IS110	1221	HA57	HA57_2
326	HA57_2_IS_46	IS630_247	277897	279704		IS630	1807	HA57	HA57_2
329	HA57_2_IS_47	IS1380_105	279607	281263		IS1380	1656	HA57	HA57_2
332	HA57_2_IS_48	IS5_222	291761	292829		IS5	1068	HA57	HA57_2
335	HA57_2_IS_49	IS5_222	295568	296359		IS5	791	HA57	HA57_2
338	HA57_2_IS_50	IS5_222	296360	297344		IS5	984	HA57	HA57_2
339	HA57_2_IS_51	IS630_386	301863	303029		IS630	1166	HA57	HA57_2
342	HA57_2_IS_52	IS630_247	303195	304325		IS630	1130	HA57	HA57_2
345	HA57_2_IS_53	IS110_208	304242	305464		IS110	1222	HA57	HA57_2
348	HA57_2_IS_54	IS630_386	307509	308675	+	IS630	1166	HA57	HA57_2
351	HA57_2_IS_55	IS110_151	323029	326938	-	IS110	3909	HA57	HA57_2
354	HA57_2_IS_56	IS3_255	330235	331608		IS3	1373	HA57	HA57_2
357	HA57_3_IS_1	IS6_303	7372	8182	-	IS6	810	HA57	HA57_3
360	HA57_3_IS_2	IS3_176	12373	13709	-	IS3	1336	HA57	HA57_3
363	HA57_3_IS_3	IS1634_37	16699	18278	+	IS1634	1579	HA57	HA57_3
366	HA57_3_IS_4	IS5_108	27724	31681	+	IS5	3957	HA57	HA57_3
369	HA57_3_IS_5	IS5_222	31345	33062	-	IS5	1717	HA57	HA57_3
372	HA57_3_IS_6	IS5_108	32723	34096		IS5	1373	HA57	HA57_3
375	HA57_3_IS_7	IS5_222	49353	50439	+	IS5	1086	HA57	HA57_3
378	HA57_3_IS_8	IS256_92	89840	91221	+	IS256	1381	HA57	HA57_3
381	HA57_3_IS_9	IS91_83	92522	93663	+	IS91	1141	HA57	HA57_3
384	HA57_3_IS_10	IS630_247	95752	96807	-	IS630	1055	HA57	HA57_3
387	HA57_3_IS_11	IS91_83	97677	99464	-	IS91	1787	HA57	HA57_3
390	HA57_3_IS_12	IS91_83	107716	109137	-	IS91	1421	HA57	HA57_3
393	HA57_3_IS_13	IS256_128	112142	113531	-	IS256	1389	HA57	HA57_3
396	HA57_4_IS_1	IS110_142	8279	14850		IS110	6571	HA57	HA57_4
399	HA57_4_IS_2	IS1182_100	40090	41646	-	IS1182	1556	HA57	HA57_4
402	HA57_4_IS_3	IS110_142	77556	84123	+	IS110	6567	HA57	HA57_4
405	HA57_8_IS_1	IS481_240	873	2318	-	IS481	1445	HA57	HA57_8
0	B4_1_IS_1	IS1182_100	12272	13801		IS1182	1529	B4	B4_1
3	B4_1_IS_2	IS1182_100	13808	15340		IS1182	1532	B4	B4_1
6	B4_1_IS_3	IS3_271	172512	173682	-	IS3	1170	B4	B4_1
9	B4_1_IS_4	IS3_271	184735	185904		IS3	1169	B4	B4_1
12	B4_1_IS_5	IS110_142	243715	245517	+	IS110	1802	B4	B4_1
15	B4_1_IS_6	IS3_239|IS3||protein:plasmid:133558	245410	246982		IS3	1572	B4	B4_1
18	B4_1_IS_7	IS110_208	246475	247938		IS110	1463	B4	B4_1
21	B4_1_IS_8	IS3_271	268432	269629	-	IS3	1197	B4	B4_1
24	B4_1_IS_9	IS6_303	273387	274195		IS6	808	B4	B4_1
27	B4_1_IS_10	IS6_303	294895	295703	+	IS6	808	B4	B4_1
30	B4_1_IS_11	IS1182_100	308657	310189		IS1182	1532	B4	B4_1
33	B4_1_IS_12	IS110_208	342593	344067		IS110	1474	B4	B4_1
36	B4_1_IS_13	IS3_271	393124	394293		IS3	1169	B4	B4_1
39	B4_1_IS_14	IS3_271	421014	422184	-	IS3	1170	B4	B4_1
42	B4_1_IS_15	IS1182_100	436298	437828		IS1182	1530	B4	B4_1
45	B4_1_IS_16	IS110_184	443645	445217	-	IS110	1572	B4	B4_1
48	B4_1_IS_17	IS1182_100	450080	451611		IS1182	1531	B4	B4_1
51	B4_1_IS_18	IS3_271	459728	460898	-	IS3	1170	B4	B4_1
54	B4_1_IS_19	IS1182_100	462506	464029	-	IS1182	1523	B4	B4_1
57	B4_1_IS_20	IS1182_100	468384	469916	-	IS1182	1532	B4	B4_1
60	B4_1_IS_21	IS3_271	469933	471103		IS3	1170	B4	B4_1
63	B4_1_IS_22	IS1182_100	488884	490437	+	IS1182	1553	B4	B4_1
66	B4_1_IS_23	IS3_168	525611	526841		IS3	1230	B4	B4_1
69	B4_1_IS_24	IS3_168	680085	681312	-	IS3	1227	B4	B4_1
72	B4_1_IS_25	IS1182_100	887751	889281		IS1182	1530	B4	B4_1
75	B4_1_IS_26	IS3_271	996111	997307		IS3	1196	B4	B4_1
78	B4_1_IS_27	IS1182_100	1071801	1073331	+	IS1182	1530	B4	B4_1
81	B4_1_IS_28	IS1182_100	1073338	1074868		IS1182	1530	B4	B4_1
84	B4_1_IS_29	IS110_184	1100263	1101323	-	IS110	1060	B4	B4_1
87	B4_1_IS_30	IS1182_100	1258745	1260277		IS1182	1532	B4	B4_1
90	B4_1_IS_31	IS1182_100	1460534	1462066	+	IS1182	1532	B4	B4_1
93	B4_1_IS_32	IS3_271	1928730	1929927	+	IS3	1197	B4	B4_1
96	B4_1_IS_33	IS110_184	2442242	2443837	-	IS110	1595	B4	B4_1
99	B4_1_IS_34	IS3_271	2467298	2468468		IS3	1170	B4	B4_1
102	B4_1_IS_35	IS3_271	2469381	2470551		IS3	1170	B4	B4_1
105	B4_1_IS_36	IS3_271	2964574	2965744	-	IS3	1170	B4	B4_1
108	B4_1_IS_37	IS110_179	3191099	3192256	-	IS110	1157	B4	B4_1
111	B4_1_IS_38	IS3_271	3294903	3296073	+	IS3	1170	B4	B4_1
114	B4_1_IS_39	IS3_271	3320419	3321589	+	IS3	1170	B4	B4_1
117	B4_1_IS_40	IS3_271	3685289	3686439		IS3	1150	B4	B4_1
120	B4_1_IS_41	IS3_271	3687359	3688575	+	IS3	1216	B4	B4_1
123	B4_1_IS_42	IS3_271	3718200	3719369		IS3	1169	B4	B4_1
126	B4_1_IS_43	IS1182_100	3720943	3722475		IS1182	1532	B4	B4_1
129	B4_1_IS_44	IS110_208	3735668	3737134	-	IS110	1466	B4	B4_1
132	B4_1_IS_45	IS3_239|IS3||protein:plasmid:133558	3737049	3738747	+	IS3	1698	B4	B4_1
135	B4_1_IS_46	IS3_271	3740115	3741284		IS3	1169	B4	B4_1
138	B4_1_IS_47	IS3_271	3748317	3749486		IS3	1169	B4	B4_1
141	B4_1_IS_48	IS110_170	3752177	3753626	-	IS110	1449	B4	B4_1
144	B4_1_IS_49	IS3_168	3754408	3755636	+	IS3	1228	B4	B4_1
147	B4_1_IS_50	IS3_271	3758829	3760026	-	IS3	1197	B4	B4_1
150	B4_1_IS_51	IS3_271	3767088	3768257		IS3	1169	B4	B4_1
153	B4_1_IS_52	IS3_271	3780445	3781614		IS3	1169	B4	B4_1
156	B4_1_IS_53	IS1182_100	3785829	3787359	-	IS1182	1530	B4	B4_1
159	B4_1_IS_54	IS110_208	3837268	3838543	-	IS110	1275	B4	B4_1
162	B4_1_IS_55	IS1182_100	4335262	4336824		IS1182	1562	B4	B4_1
165	B4_1_IS_56	IS1182_100	4515817	4517346		IS1182	1529	B4	B4_1
168	B4_1_IS_57	IS1182_100	4517353	4518885		IS1182	1532	B4	B4_1
171	B4_2_IS_1	IS110_208	4397	11503	+	IS110	7106	B4	B4_2
174	B4_2_IS_2	IS3_168	13476	14704	+	IS3	1228	B4	B4_2
177	B4_2_IS_3	IS3_271	29628	30797		IS3	1169	B4	B4_2
180	B4_2_IS_4	IS3_168	31118	32344		IS3	1226	B4	B4_2
183	B4_2_IS_5	IS3_168	33239	34464		IS3	1225	B4	B4_2
186	B4_2_IS_6	IS110_208	45033	46404	+	IS110	1371	B4	B4_2
189	B4_2_IS_7	IS110_170	46627	48226	-	IS110	1599	B4	B4_2
192	B4_2_IS_8	IS6_303	48007	48825	-	IS6	818	B4	B4_2
195	B4_2_IS_9	IS3_271	53677	54847	-	IS3	1170	B4	B4_2
198	B4_2_IS_10	IS110_142	62017	63211	-	IS110	1194	B4	B4_2
201	B4_2_IS_11	IS481_213	69830	70559	-	IS481	729	B4	B4_2
204	B4_2_IS_12	IS3_168	87243	88471		IS3	1228	B4	B4_2
207	B4_2_IS_13	IS66_46	88141	90530	+	IS66	2389	B4	B4_2
210	B4_2_IS_14	IS110_208	95450	96998	+	IS110	1548	B4	B4_2
213	B4_2_IS_15	IS110_184	110113	111422	+	IS110	1309	B4	B4_2
216	B4_2_IS_16	IS3_271	122896	124065		IS3	1169	B4	B4_2
219	B4_2_IS_17	IS3_168	130438	131668	+	IS3	1230	B4	B4_2
222	B4_2_IS_18	IS1182_100	131463	132987	-	IS1182	1524	B4	B4_2
225	B4_2_IS_19	IS3_271	169509	170678		IS3	1169	B4	B4_2
228	B4_2_IS_20	IS110_208	171512	172901	-	IS110	1389	B4	B4_2
231	B4_2_IS_21	IS110_179	178428	179630	+	IS110	1202	B4	B4_2
234	B4_2_IS_22	IS3_271	187762	188930		IS3	1168	B4	B4_2
237	B4_2_IS_23	IS3_168	204224	205450		IS3	1226	B4	B4_2
240	B4_2_IS_24	IS3_271	224658	225827		IS3	1169	B4	B4_2
243	B4_2_IS_25	IS1182_100	236482	238014	-	IS1182	1532	B4	B4_2
246	B4_2_IS_26	IS110_208	243539	250642		IS110	7103	B4	B4_2
249	B4_2_IS_27	IS3_168	252613	253838	+	IS3	1225	B4	B4_2
252	B4_3_IS_1	IS110_179	19285	20881	+	IS110	1596	B4	B4_3
255	B4_3_IS_2	IS3_271	37672	38282	+	IS3	610	B4	B4_3
258	B4_3_IS_3	IS3_271	86902	87762	-	IS3	860	B4	B4_3
261	B4_3_IS_4	IS3_271	89518	90742	+	IS3	1224	B4	B4_3
264	B4_3_IS_5	IS110_184	93497	94741	-	IS110	1244	B4	B4_3
267	B4_3_IS_6	IS3_239|IS3||protein:plasmid:133558	96761	98054	-	IS3	1293	B4	B4_3
270	B4_3_IS_7	IS110_208	98129	99499	+	IS110	1370	B4	B4_3
273	B4_4_IS_1	IS30_173	80	3112		IS30	3032	B4	B4_4
276	B4_4_IS_2	IS3_271	28084	29253		IS3	1169	B4	B4_4
279	B4_4_IS_3	IS3_271	31128	32325	-	IS3	1197	B4	B4_4
282	B4_4_IS_4	IS3_271	32445	33615	-	IS3	1170	B4	B4_4
285	B4_4_IS_5	IS3_271	52063	53232		IS3	1169	B4	B4_4
288	B4_4_IS_6	IS110_236	54043	55037	+	IS110	994	B4	B4_4
291	B4_4_IS_7	IS3_271	67993	69162		IS3	1169	B4	B4_4
294	B4_4_IS_8	IS3_271	114420	115590	-	IS3	1170	B4	B4_4
297	B4_4_IS_9	IS3_271	126294	127464	+	IS3	1170	B4	B4_4
